timestamp,protocol,N,f,B,K,replica,host,time_sec,txs_delivered
2026-06-08 01:11:03,honeybadger,16,5,1000,1,10,121.40.255.201,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,11,121.43.148.183,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,12,121.40.158.250,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,13,121.40.117.123,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,14,121.40.88.101,,
2026-06-08 01:11:03,honeybadger,16,5,1000,1,15,121.40.118.7,,
2026-06-08 01:12:13,honeybadger,16,5,2500,1,0,120.27.215.50,13.686415,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,1,116.62.149.8,13.68479,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,2,47.98.121.97,13.753619,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,3,116.62.240.167,13.715114,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,4,121.43.234.253,13.507199,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,5,121.199.72.252,13.504523,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,6,121.40.130.83,13.813679,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,7,121.40.94.52,14.190874,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,8,120.26.46.218,13.945841,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,9,120.55.86.74,13.769315,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,10,121.40.255.201,13.8759,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,11,121.43.148.183,13.905656,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,12,121.40.158.250,13.97079,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,13,121.40.117.123,13.787953,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,14,121.40.88.101,13.944747,2496
2026-06-08 01:12:13,honeybadger,16,5,2500,1,15,121.40.118.7,14.16816,2496
2026-06-08 01:13:36,honeybadger,16,5,5000,1,0,120.27.215.50,18.85625,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,1,116.62.149.8,18.668549,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,2,47.98.121.97,18.489853,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,3,116.62.240.167,18.52237,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,4,121.43.234.253,18.369016,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,5,121.199.72.252,18.661296,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,6,121.40.130.83,18.762248,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,7,121.40.94.52,18.545248,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,8,120.26.46.218,18.546983,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,9,120.55.86.74,18.648004,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,10,121.40.255.201,18.709192,4992
2026-06-08 01:13:36,honeybadger,16,5,5000,1,11,121.43.148.183,18.902823,4992
